ID,composition,temperature,target,log_target,family,ChemicalFamily,,,source
436,Li1.6Al0.6Ge1.0Ti0.4(PO4)3,25,5.00E-05,-4.301029996,NASICON,Oxides,,,10.1107/S2052520615022283
599,La0.55Li0.36Ti0.95Ru0.05O3,25,5.20E-05,-4.283996656,Perovskite,Oxides,,,10.1016/j.jpowsour.2014.07.159
645,Li0.15La0.51Sr0.15TiO3,25,5.30E-05,-4.27572413,Perovskite,Oxides,,,
376,Li1.3Fe0.3Hf1.7(PO4)3,25,5.40E-05,-4.26760624,NASICON,Oxides,,,10.1149/2.0501412jes
465,Li1.5Y0.5Ti1.5(PO4)3,25,5.44E-05,-4.2644011,NASICON,Oxides,,,10.1021/ja407393y
371,Li1.2Sc0.2Hf1.8(PO4)3,25,5.86E-05,-4.232102384,NASICON,Oxides,,,10.1039/C6CC02131J
373,Li1.1Lu0.1Hf1.9(PO4)3,25,5.88E-05,-4.230622674,NASICON,Oxides,,,10.1016/0013-4686(77)80035-2
810,Li6.8La3Zr1.8Sb0.2O12,30,5.90E-05,-4.229147988,Garnet,Oxides,,,10.1149/1.2119778
,Li6.25Ba1.25La1.75Ta2O12,26,0.000078,-4.229023263,Garnet,Oxides,,,10.1002/aenm.201700971
641,Li0.3Sr0.6Ti0.45Fe0.05Ta0.5O3,30,6.00E-05,-4.22184875,Perovskite,Oxides,,,10.1016/j.ssi.2008.01.055
386,Li1.3Eu0.3Ti1.7(PO4)3,25,6.00E-05,-4.22184875,NASICON,Oxides,,,10.1002/aenm.201700971
435,Li1.4Al0.4Ge0.8Ti0.8(PO4)3,25,6.00E-05,-4.22184875,NASICON,Oxides,,,10.1002/aenm.201700971
211,Li0.1Na0.1La0.6TiO3,34,6.15E-05,-4.211124884,Perovskite,Oxides,,,10.1016/S0925-8388(96)02746-6
375,Li1.4Sc0.4Hf1.6(PO4)3,25,6.17E-05,-4.209714836,NASICON,Oxides,,,10.1039/c2cp23636b
784,Li4PS4I,25,6.26E-05,-4.203425667,Argyrodite,Sulphides and Other Anions,,,10.1016/S0167-2738(96)00565-6
619,Li0.5Sr0.5Cr0.25Ta0.75O3,25,6.31E-05,-4.200039473,Perovskite,Oxides,,,10.1016/S0167-2738(96)00565-6
868,Li4.275Ge0.61Ga0.25S4,25,6.34E-05,-4.197910742,Thio-LISICON,Sulphides,,,10.1016/S0167-2738(96)00565-6
246,Li4.2Ge0.8Ga0.2S4,25,6.50E-05,-4.187086643,Thio-LISICON,Sulphides,,,10.1016/S0167-2738(96)00565-6
185,(Li2S)0.5((Ga2S3)0.1(GeS2)0.9)0.5,28,6.70E-05,-4.173925197,Glass,Sulphides,,,10.1016/S0167-2738(96)00565-6
434,Li1.8Al0.8Ge0.8Ti0.4(PO4)3,25,7.00E-05,-4.15490196,NASICON,Oxides,,,10.1016/S0167-2738(96)00565-6
707,Li3.5Ge0.5V0.5O4,25,7.00E-05,-4.15490196,LISICON,Oxides,,,10.1016/S0167-2738(96)00565-6
789,Li4SnS4,25,7.00E-05,-4.15490196,Thio-LISICON,Sulphides,,,10.1039/c2cp23636b
485,Li1.55Al0.55Ge0.2Ti1.25(PO4)3,25,7.02E-05,-4.153662888,NASICON,Oxides,,,10.1002/aenm.201700971
390,Li1.15Y0.15Zr1.85(PO4)3,25,7.10E-05,-4.148741651,NASICON,Oxides,,,10.1002/aenm.201700971
402,Li1.3Al0.1Y0.2Ti1.7(PO4)3,25,7.30E-05,-4.13667714,NASICON,Oxides,,,10.1016/0025-5408(89)90053-6
2009,Li2.9Sc1.9Zr0.1(PO4)3,25,7.48E-05,-4.126174447,NASICON,Sulphides,,,10.1021/cm5037524
644,Li0.25La0.41Sr0.25TiO3,25,7.64E-05,-4.116906641,Perovskite,Oxides,,,10.1016/j.ssi.2008.01.055
656,Li0.25La0.66Ti0.75Al0.25O3,25,7.66E-05,-4.11577123,Perovskite,Oxides,,,10.1016/j.jpowsour.2008.09.089
762,Li3.6Si0.6P0.4S4,25,7.76E-05,-4.110026362,Thio-LISICON,Sulphides,,,
655,Li0.067La0.64TiO2.99,27,7.90E-05,-4.102372909,Perovskite,Oxides,,,10.1021/acs.chemmater.8b01504
606,Li0.10La0.63TiO3,27,7.90E-05,-4.102372909,Perovskite,Oxides,,,10.1149/1.1379028
433,Li1.4Al0.4Ge1.0Ti0.6(PO4)3,25,8.00E-05,-4.096910013,NASICON,Oxides,,,10.1021/acs.chemmater.8b01504
41,Li6.46Al0.15La3Zr1.95O11.86,25,8.30E-05,-4.080921908,Garnet,Oxides,,,10.1016/j.ssi.2005.10.021
372,Li1.3Sc0.3Hf1.7(PO4)3,25,8.32E-05,-4.079876674,NASICON,Oxides,,,10.1149/1.1379028
370,Li1.1Y0.1Hf1.9(PO4)3,25,9.18E-05,-4.037157319,NASICON,Oxides,,,10.1021/acs.chemmater.8b01504
368,Li1.2Lu0.2Hf1.8(PO4)3,25,9.79E-05,-4.009217308,NASICON,Oxides,,,10.1021/acs.chemmater.8b01504
23,Li6.5La3Zr1.75Te0.25O12,29.85,1.07E-04,-3.972242795,Garnet,Oxides,,,10.1006/jssc.2002.9701
367,Li1.1Fe0.1Hf1.9(PO4)3,25,1.07E-04,-3.970616222,NASICON,Oxides,,,10.1016/0025-5408(80)90249-4
697,Li1.5Hf1.5Al0.5P3O12,25,1.10E-04,-3.958607315,NASICON,Oxides,,,10.1149/1.1379028
432,Li1.6Al0.6Ge0.8Ti0.6(PO4)3,25,1.10E-04,-3.958607315,NASICON,Oxides,,,10.1021/acs.chemmater.8b01504
488,Li7Ge3PS12,25,1.10E-04,-3.958607315,Thio-LISICON,Sulphides,,,10.1021/acs.chemmater.8b01504
,Li0.24La0.59TiO3,26,0.000121,-3.94953916,Perovskite,Oxides,,,10.1006/jssc.2002.9701
473,Li1.5Ga0.5Ge1.5(PO4)3,25,1.17E-04,-3.931814138,NASICON,Oxides,,,10.1021/acsami.6b14402
337,Li1.2Sc0.2Ti1.6Zr0.2(PO4)3,25,1.20E-04,-3.920818754,NASICON,Oxides,,,10.1021/acs.chemmater.8b01504
401,Li1.3Al0.2Y0.1Ti1.7(PO4)3,25,1.20E-04,-3.920818754,NASICON,Oxides,,,10.1021/acs.chemmater.8b01504
779,Li2.2Zn0.1Zr0.9S3,30,1.20E-04,-3.920818754,Thio-LISICON,Sulphides,,,10.1016/S0167-2738(00)00277-0
620,Li0.5Sr0.5Fe0.25Ta0.75O3,25,1.26E-04,-3.900008766,Perovskite,Oxides,,,10.1016/0167-2738(93)90015-U
364,Li1.2In0.2Hf1.8(PO4)3,25,1.32E-04,-3.879426069,NASICON,Oxides,,,10.1021/acs.chemmater.9b03230
366,Li1.4In0.4Hf1.6(PO4)3,25,1.42E-04,-3.847711656,NASICON,Oxides,,,10.1039/B301189e
,Li1.3Al0.3Ti1.7(PO4)3,24.35333333,0.002095142,-3.84580006,NASICON,Oxides,,,10.1039/B301189e
359,Li1.6Cr0.6Ti1.4(PO4)3,25,1.47E-04,-3.832682665,NASICON,Oxides,,,10.1016/0167-2738(90)90442-T
464,Li1.4Cr0.4Ti1.6(PO4)3,25,1.50E-04,-3.823908741,NASICON,Oxides,,,10.1039/C0EE00052C
421,Li1.7Al0.7Ge1.3(PO4)3,25,1.50E-04,-3.823908741,NASICON,Oxides,,,10.1021/ja305709z
336,Li1.1Sc0.1Ti1.9(PO4)3,25,1.58E-04,-3.801342913,NASICON,Oxides,,,10.1016/j.ssi.2015.11.027
608,(La0.5Li0.5)0.75(La0.5Na0.5)0.25TiO3,27,1.58E-04,-3.800244823,Perovskite,Oxides,,,10.1016/0167-2738(89)90438-4
,Li1.4S2.2P0.6,25,0.000696567,-3.798654709,Glass,Sulphides,,,10.1021/ja3110895
792,Li3PS4,25,1.60E-04,-3.795880017,Thio-LISICON,Sulphides,,,
805,Li6La3ZrTaO12,25,1.60E-04,-3.795880017,Garnet,Oxides,,,10.1021/acsami.6b14402
642,Li0.3Sr0.6Ti0.5Ta0.5O3,30,1.70E-04,-3.769551079,Perovskite,Oxides,,,10.1016/S0167-2738(00)00277-0
363,Li1.2Fe0.2Hf1.8(PO4)3,25,1.70E-04,-3.769551079,NASICON,Oxides,,,10.1016/S0167-2738(00)00277-0
463,Li1.5Fe0.5Ti1.5(PO4)3,25,1.75E-04,-3.756961951,NASICON,Oxides,,,10.1021/acs.chemmater.8b03175
406,Li1.4Al0.4Ge1.6(PO4)3,25,1.77E-04,-3.752026734,NASICON,Oxides,,,10.1021/acs.chemmater.8b03175
795,Li6La3Nb1.5Y0.5O12,24,1.88E-04,-3.725842151,Garnet,Oxides,,,10.1021/acs.chemmater.8b03175
598,La0.55Li0.36Ti0.95Mn0.05O3,25,1.90E-04,-3.721246399,Perovskite,Oxides,,,10.1021/acs.chemmater.8b03175
869,Li1.4Ti1.6In0.4P3O12,25,1.90E-04,-3.721246399,NASICON,Oxides,,,10.1006/jssc.2002.9701
718,Li4BN3H10,25,2.00E-04,-3.698970004,Other,Other,,,10.1021/acsami.6b14402
462,Li1.5In0.5Ti1.5(PO4)3,25,2.04E-04,-3.690369833,NASICON,Oxides,,,10.1021/acsami.6b14402
150,(Li2S)0.875(P2S5)0.125,25,2.10E-04,-3.677780705,Glass,Sulphides,,,10.1107/S0567740877009443
597,La0.58Li0.36Ti0.95Mg0.05O3,25,2.10E-04,-3.677780705,Perovskite,Oxides,,,10.1021/Ja907249p
,Li0.7Al0.3Ti1.7(PO4)3,22.37,0.00033265,-3.67122159,NASICON,Oxides,,,10.1016/S0167-2738(00)00277-0
2027,Li3.6Ge0.4P0.6S4,25,0.000221356,-3.654909409,Thio-LISICON,Sulphides,,,10.1021/cm703677q
787,Li6.6La2.5Y0.5Zr1.6Ta0.4O12,27,2.26E-04,-3.645891561,Garnet,Oxides,,,
,Li1.6Al0.6Ge1.4(PO4)3,25,0.00026,-3.637044184,NASICON,Oxides,,,10.1021/acs.chemmater.7b00013
29,Li1.2Ti1.8Sc0.2(PO4)3,25,2.31E-04,-3.63638802,NASICON,Oxides,,,10.1016/0025-5408(76)90235-X
870,Li1.8Cr0.8Ti1.2(PO4)3,25,2.40E-04,-3.619788758,NASICON,Oxides,,,10.1016/0025-5408(89)90053-6
333,Li1.2Sc0.2Ti1.8(PO4)3,25,2.46E-04,-3.609064893,NASICON,Oxides,,,10.1021/cm3011315
722,Li2NH,25,2.54E-04,-3.595166283,Other,Other,,,10.1021/jp304737x
809,Li6La3ZrSbO12,30,2.60E-04,-3.585026652,Garnet,Oxides,,,10.1016/j.jssc.2005.12.025
311,Li1.3Al0.2Sc0.1Ti1.7(PO4)3,25,2.69E-04,-3.57024772,NASICON,Oxides,,,10.1016/j.jssc.2005.12.025
794,Li6.5La3Nb1.25Y0.75O12,25,2.70E-04,-3.568636236,Garnet,Oxides,,,10.1016/j.jssc.2017.09.018
804,Li6.8La3Zr1.8Ta0.2O12,25,2.80E-04,-3.552841969,Garnet,Oxides,,,10.1016/j.ssi.2017.03.030
470,Li1.5La0.5Ti1.5(PO4)3,25,2.82E-04,-3.549750892,NASICON,Oxides,,,10.1111/j.1151-2916.2003.tb03318.x
486,Li1.45Al0.45Ti1.55(PO4),25,2.90E-04,-3.537602002,NASICON,Oxides,,,10.1016/j.ssi.2008.01.002
134,(LiI)0.3((Li2S)0.3((Ga2S3)0.1(GeS2)0.9)0.7)0.7,25,2.91E-04,-3.536107011,Glass,Sulphides and Other Anions,,,
461,Li1.4In0.4Ti1.6(PO4)3,25,3.00E-04,-3.522878745,NASICON,Oxides,,,10.1016/j.ssi.2008.01.002
21,Li6.4Al0.19La3Zr2O11.8,24.85,3.10E-04,-3.508638306,Garnet,Oxides,,,10.1002/anie.198000741
786,Li6.6La2.875Y0.125Zr1.6Ta0.4O12,27,3.17E-04,-3.498940738,Garnet,Oxides,,,10.1021/acsomega.8b00377
803,Li6.2La3Zr1.2Ta0.8O12,25,3.20E-04,-3.494850022,Garnet,Oxides,,,10.1039/c7ta08581h
,(Li2S)0.75(P2S5)0.25,30.525,0.000393,-3.480283025,Glass,Sulphides,,,10.1039/c7ta08581h
770,Li7La3Zr1.89Al0.15O12,25,3.40E-04,-3.468521083,Garnet,Oxides,,,10.1039/c7ta08581h
405,Li1.4Al0.4Ge1.2Ti0.4(PO4)3,25,3.43E-04,-3.46470588,NASICON,Oxides,,,10.1039/c7ta08581h
777,Li6.25La3Zr2Ga0.25O12,25,3.50E-04,-3.455931956,Garnet,Oxides,,,10.1039/c7ta08581h
457,Li1.2Fe0.2Ti1.8(PO4)3,25,3.51E-04,-3.454692884,NASICON,Oxides,,,10.1039/c7ta08581h
596,La0.55Li0.36Ti0.95Ge0.05O3,25,3.60E-04,-3.443697499,Perovskite,Oxides,,,10.1039/c7ta08581h
,Li6PS5Br,25,0.000442,-3.439943465,Argyrodite,Sulphides and Other Anions,,,10.1039/c7ta08581h
617,Li0.25La0.25TaO3,25,3.66E-04,-3.436518915,Perovskite,Oxides,,,10.1039/c7ta08581h
460,Li1.4Fe0.4Ti1.6(PO4)3,25,3.86E-04,-3.413412695,NASICON,Oxides,,,
358,Li1.5Cr0.5Ti1.5(PO4)3,25,3.91E-04,-3.407823243,NASICON,Oxides,,,10.1016/j.matchemphys.2012.03.054
103,LiP0.9I0.1O2.7,25,3.98E-04,-3.400116928,Glass,Oxides and Other Anions,,,10.1039/c7ta08581h
459,Li1.2In0.2Ti1.8(PO4)3,25,4.01E-04,-3.396855627,NASICON,Oxides,,,10.1016/j.apsusc.2019.07.041
310,Li1.3Al0.1Sc0.2Ti1.7(PO4)3,25,4.26E-04,-3.370590401,NASICON,Oxides,,,10.1039/C3CP50991E
785,Li6.6La2.75Y0.25Zr1.6Ta0.4O12,27,4.36E-04,-3.360513511,Garnet,Oxides,,,10.1039/C2JM31413D
756,Li6.05P0.95Si0.05S5Br,25,4.41E-04,-3.355561411,Argyrodite,Sulphides and Other Anions,,,10.1039/c7ta08581h
,Li6PS5Cl,22.09,0.0004565,-3.347418935,Argyrodite,Sulphides and Other Anions,,,10.1039/c7ta08581h
808,Li6.2La3Zr1.2Sb0.8O12,25,4.50E-04,-3.346787486,Garnet,Oxides,,,10.1016/j.ensm.2019.08.017
469,Li1.4La0.4Ti1.6(PO4)3,25,4.97E-04,-3.303643611,NASICON,Oxides,,,10.1016/j.jpowsour.2012.02.100
453,Li1.2Y0.2Ti1.8(PO4)3,25,5.04E-04,-3.297569464,NASICON,Oxides,,,10.1039/C3CP50991E
458,Li1.4Sc0.4Ti1.6(PO4)3,25,5.15E-04,-3.288192771,NASICON,Oxides,,,10.1039/C2JM31413D
312,Li1.15Fe0.15Ti1.85(PO4)3,25,5.22E-04,-3.282329497,NASICON,Oxides,,,10.1021/cm5008069
931,Li0.022La0.115Ti0.165Al0.055O0.618,30,5.25E-04,-3.280006174,Perovskite,Oxides,,,10.1039/c7ta08581h
467,Li1.2La0.2Ti1.8(PO4)3,25,5.28E-04,-3.277366077,NASICON,Oxides,,,10.1021/cm5008069
468,Li1.3La0.3Ti1.7(PO4)3,25,5.28E-04,-3.277366077,NASICON,Oxides,,,10.3389/fenrg.2016.00028
300,Li3.2Ge0.2P0.8S4,27,5.40E-04,-3.26760624,Thio-LISICON,Sulphides,,,10.1021/jp304737x
647,LiSrTiTaO6,25,5.50E-04,-3.259637311,Perovskite,Oxides,,,
456,Li1.3Y0.3Ti1.7(PO4)3,25,5.54E-04,-3.256490235,NASICON,Oxides,,,10.1016/j.jpowsour.2013.03.166
725,Li3N,25,5.75E-04,-3.240332155,Other,Other,,,10.1021/am503731h
663,Li0.27La0.59TiO3,25,5.80E-04,-3.236572006,Perovskite,Oxides,,,10.1021/am503731h
454,Li1.4Y0.4Ti1.6(PO4)3,25,6.10E-04,-3.214670165,NASICON,Oxides,,,10.1021/am503731h
484,Li1.35Al0.35Ge0.2Ti1.45(PO4)3,25,6.18E-04,-3.209011525,NASICON,Oxides,,,10.1039/C3CP50991E
83,Li0.33La0.56Ti0.96Al0.04O2.96F0.04,25,6.22E-04,-3.206209615,Perovskite,Oxides and Other Anions,,,10.1039/C2JM31413D
582,Li6PS5I,25,6.30E-04,-3.200659451,Argyrodite,Sulphides and Other Anions,,,10.1016/j.jpowsour.2010.11.089
595,La0.56Li0.36Ti0.95Al0.05O3,25,6.40E-04,-3.193820026,Perovskite,Oxides,,,
18,Li3.4Si0.4P0.6S4,27,6.40E-04,-3.193820026,Thio-LISICON,Sulphides,,,10.1016/j.jpowsour.2013.03.166
60,La0.55Li0.36Ti0.992Al0.008O3,25,6.54E-04,-3.184422252,Perovskite,Oxides,,,10.1016/j.ceramint.2018.09.245
807,Li6.4La3Zr1.4Sb0.6O12,30,6.60E-04,-3.180456064,Garnet,Oxides,,,10.1039/C3CP50991E
,Li1.3Sc0.3Ti1.7(PO4)3,25,0.000681,-3.172915581,NASICON,Oxides,,,10.1039/C2JM31413D
169,Li1.4Al0.4(Ge0.67Ti0.33)1.6(PO4)3,21,6.76E-04,-3.170053304,NASICON,Oxides,,,10.1111/j.1551-2916.2005.00060.x
30,Li1.6Al0.6Ge0.8(PO4)3,24.85,7.00E-04,-3.15490196,NASICON,Oxides,,,
594,La0.51Li0.36Ti0.95W0.05O3,25,7.30E-04,-3.13667714,Perovskite,Oxides,,,10.1111/j.1551-2916.2005.00060.x
801,Li6.6La3Zr1.6Ta0.4O12,25,7.30E-04,-3.13667714,Garnet,Oxides,,,10.1016/j.ssi.2008.10.022
483,Li1.50Al0.50Ge0.2Ti1.3(PO4)3,25,7.37E-04,-3.132532512,NASICON,Oxides,,,10.1002/zaac.19875531020
,Li6.75La3Zr1.75Ta0.25O12,25,0.000763,-3.124175721,Garnet,Oxides,,,10.1002/zaac.19875531020
806,Li6.6La3Zr1.6Sb0.4O12,30,7.70E-04,-3.113509275,Garnet,Oxides,,,10.1016/j.ssi.2008.01.047
769,Li6.75La3Zr1.75Nb0.25O12,25,8.00E-04,-3.096910013,Garnet,Oxides,,,10.1016/j.ssi.2008.01.047
699,Li11AlP2S12,25,8.02E-04,-3.095825632,Thio-LISICON,Sulphides,,,10.1021/jp304737x
754,Li6.10P0.90Si0.10S5Br,25,8.05E-04,-3.09420412,Argyrodite,Sulphides and Other Anions,,,10.1039/C3CP50991E
248,Li1.076Al0.6923Ti1.462(PO4)3,21,8.25E-04,-3.083546051,NASICON,Oxides,,,10.1039/C2JM31413D
45,Li6.5La2.9Ba0.1Zr1.4Ta0.6O12,26.85,8.30E-04,-3.080921908,Garnet,Oxides,,,10.1149/1.2800764
,Li6.5La3Zr1.5Ta0.5O12,25.925,0.000857,-3.068195836,Garnet,Oxides,,,10.1002/zaac.19875531020
752,Li6.08P0.92Si0.08S5Br,25,8.64E-04,-3.063486258,Argyrodite,Sulphides and Other Anions,,,10.1002/zaac.19875531020
753,Li6.02P0.98Si0.02S5Br,25,8.74E-04,-3.058488567,Argyrodite,Sulphides and Other Anions,,,10.1002/zaac.201000121
334,Li1.8Sc0.8Ti1.2(PO4)3,25,8.80E-04,-3.055517328,NASICON,Oxides,,,
593,La0.54Li0.36TiO3,25,8.90E-04,-3.050609993,Perovskite,Oxides,,,
927,Li0.022La0.118Ti0.2Al0.004O0.631,30,8.91E-04,-3.049976093,Perovskite,Oxides,,,10.1007/s10008-011-1572-8
748,Li6.12P0.90Si0.12S5Br,25,9.00E-04,-3.045757491,Argyrodite,Sulphides and Other Anions,,,
790,Li6.4La3Zr2Ga0.2O12,24,9.00E-04,-3.045757491,Garnet,Oxides,,,10.1111/j.1551-2916.2005.00060.x
751,Li6.13P0.87Si0.13S5Br,25,9.01E-04,-3.045275209,Argyrodite,Sulphides and Other Anions,,,
750,Li6.17P0.83Si0.17S5Br,25,9.29E-04,-3.031984286,Argyrodite,Sulphides and Other Anions,,,10.1016/j.elecom.2011.08.014
669,Li3O(Cl0.5Br0.5),29.61,9.38E-04,-3.027797162,Anti-Perovskite,Oxides and Other Anions,,,10.1016/j.jssc.2016.12.001
20,Li7.06La3Zr1.94Y0.06O12,25,9.56E-04,-3.019542108,Garnet,Oxides,,,10.1016/j.jssc.2009.10.030
604,(La0.5Li0.5)TiO3,25,1.00E-03,-3,Perovskite,Oxides,,,10.1016/j.ssi.2009.07.002
591,Li0.245La0.592Ti0.98Mn0.02O3,25,1.00E-03,-3,Perovskite,Oxides,,,10.1016/j.jpowsour.2013.03.049
612,Li0.5(La0.4Nd0.1)TiO3,25,1.00E-03,-3,Perovskite,Oxides,,,
482,Li1.40Al0.4Ge0.2Ti1.4(PO4)3,25,1.00E-03,-3,NASICON,Oxides,,,
710,Li3P,25,1.00E-03,-3,Other,Other,,,10.1038/nenergy.2016.30
714,LiLa(TiO3)2,25,1.00E-03,-3,Perovskite,Oxides,,,10.1038/nenergy.2016.30
481,Li1.45Al0.45Ge0.2Ti1.35(PO4)3,25,1.01E-03,-2.995678626,NASICON,Oxides,,,10.1107/S2052520615022283
603,Li0.34La0.51TiO2.94,27,1.02E-03,-2.991399828,Perovskite,Oxides,,,10.1149/1.1836980
,Li0.34La0.56TiO3,25,0.001109,-2.988860066,Perovskite,Oxides,,,10.1063/1.3356981
802,Li6.7La3Zr1.7Ta0.3O12,30,1.03E-03,-2.987162775,Garnet,Oxides,,,10.1063/1.2357843
749,Li6.22P0.78Si0.22S5Br,25,1.08E-03,-2.966576245,Argyrodite,Sulphides and Other Anions,,,10.1016/j.ssi.2009.02.028
59,La0.55Li0.361Ti0.995Al0.005O3,35,1.10E-03,-2.958607315,Perovskite,Oxides,,,10.1039/A807007E
592,La0.55Li0.36Ti0.995Al0.005O3,25,1.10E-03,-2.958607315,Perovskite,Oxides,,,10.1021/cm9810382
149,(Li2S)0.8(P2S5)0.2,25,1.12E-03,-2.950781977,Glass,Sulphides,,,10.1021/acsomega.8b00377
64,Li0.022La0.117Ti0.208Al0.001O0.626,30,1.26E-03,-2.89997427,Perovskite,Oxides,,,10.1021/cm9810382
404,Li1.4Al0.4Ge0.2Ti1.4(PO4)3,25,1.29E-03,-2.88941029,NASICON,Oxides,,,10.1063/1.2357843
31,Li6.55La3Zr2Ga0.9O12,24.85,1.30E-03,-2.886056648,Garnet,Oxides,,,10.1016/j.ssi.2008.06.028
302,(Li2S)50(P2S5)17(LiBH4)33,25,1.43E-03,-2.844663963,Glass,Sulphides and Other Anions,,,10.1063/1.2357843
747,Li6.25P0.75Si0.25S5Br,25,1.50E-03,-2.823908741,Argyrodite,Sulphides and Other Anions,,,
605,Sm0.52Li0.38TiO2.97,25,1.50E-03,-2.823908741,Perovskite,Oxides,,,10.1016/B978-0-08-021592-1.50024-6
,Li1.5Al0.5Ge1.5(PO4)3,25.904,0.0032994,-2.809407096,NASICON,Oxides,,,10.1016/0025-5408(89)90129-3
25,Li9.6P3S12,24.85,1.58E-03,-2.801342913,Thio-LISICON,Sulphides,,,10.1016/0167-2738(81)90020-5
22,La0.57Li0.29TiO3,26.85,1.60E-03,-2.795880017,Perovskite,Oxides,,,10.1016/S0167-2738(00)00761-X
917,LiTa2PO8,25,1.60E-03,-2.795880017,Other,Oxides,,,10.1007/s11581-008-0252-x
746,Li6.30P0.70Si0.30S5Br,25,1.83E-03,-2.73754891,Argyrodite,Sulphides and Other Anions,,,10.1149/1.2220723
2028,Li3.35Ge0.35P0.65S4,25,0.001830655,-2.737393551,Thio-LISICON,Sulphides,,,10.1021/cm9810382
745,Li6.20P0.80Si0.20S5Br,25,1.98E-03,-2.70333481,Argyrodite,Sulphides and Other Anions,,,10.1021/cm9810382
19,Li6.4La3Zr1.4Ta0.6O12,34,2.06E-03,-2.68613278,Garnet,Oxides,,,10.1021/cm9810382
,Li7P3S11,24.95,0.002421,-2.684563083,Thio-LISICON,Sulphides,,,10.1021/cm9810382
,Li3.25Ge0.25P0.75S4,25,0.002115,-2.675040641,Thio-LISICON,Sulphides,,,10.1021/cm9810382
,Li1.4Al0.4Ti1.6(PO4)3,22.925,0.0032735,-2.643561135,NASICON,Oxides,,,10.1021/cm9810382
821,Li10SiP2S12,27,2.30E-03,-2.638272164,Thio-LISICON,Sulphides,,,10.1021/cm9810382
743,Li6.35P0.65Si0.35S5Br,25,2.30E-03,-2.638272164,Argyrodite,Sulphides and Other Anions,,,10.1039/C8TA09170F
744,Li6.50P0.50Si0.50S5Br,25,2.30E-03,-2.638272164,Argyrodite,Sulphides and Other Anions,,,10.1016/0167-2738(86)90179-7
147,(Li2S)0.7(P2S5)0.3,25,3.20E-03,-2.494850022,Glass,Sulphides,,,10.1016/0167-2738(86)90179-7
673,Li10SnP2S12,25,4.00E-03,-2.397940009,Thio-LISICON,Sulphides,,,10.1016/0167-2738(86)90179-7
,Li10GeP2S12,25,0.007015,-2.306661358,Thio-LISICON,Sulphides,,,10.1016/0167-2738(86)90179-7
732,Li9.81Sn0.81P2.19S12,25,5.50E-03,-2.259637311,Thio-LISICON,Sulphides,,,
889,((Li2S)0.6(SiS2)0.4)95(Li4SiO4)5,25,5.88E-03,-2.230622674,Glass,Sulphides and Other Anions,,,10.1016/0167-2738(94)90332-8
731,Li10.35Si1.35P1.65S12,25,6.50E-03,-2.187086643,Thio-LISICON,Sulphides,,,10.1016/0167-2738(86)90179-7
584,Li5PS4(BH4)2,25,7.96E-03,-2.099086932,Argyrodite,Sulphides and Other Anions,,,
772,Li10Ge0.95Si0.05P2S12,25,8.60E-03,-2.065501549,Thio-LISICON,Sulphides,,,10.1016/0167-2738(94)90332-8
539,Li6.25PS5.25Cl0.75,25,1.40E-02,-1.853871964,Argyrodite,Sulphides and Other Anions,,,10.1016/S0167-2738(98)00414-7
698,(Li2S)70(P2S5)30,25,1.70E-02,-1.769551079,Glass-Ceramic,Sulphides,,,10.1016/0167-2738(94)90310-7
36,Li9.54Si1.74P1.44S11.7Cl0.3,24.85,2.50E-02,-1.602059991,Thio-LISICON,Sulphides and Other Anions,,,10.1016/0167-2738(94)90310-7
